,P-ASP Date,Building / Address,Floor,Unit,GFA (ft??),SA (ft??),Leased / Sold,Price(HK$),Price/ft2(GFA),Price/ft2(SA),Source
135,16/3/2022,Yau Tong??LAGUNA CITY PH 04 BLK 22                ,2,         C,644,517,Leased ,"14,300",@22,@28,CENTURY 21 HOME-LY PROPERTY AGENCY                    
136,16/3/2022,Tseung Kwan O??HONG SING GDN BLK 04 (PSPS),M,K,550,495,Leased ,"12,000",@22,@24,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
137,15/3/2022,Lam Tin??SCENEWAY GDN BLK 01                     ,16,         G,785,612,Leased ,"18,000",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY                    
138,15/3/2022,Tseung Kwan O??LOHAS PARK PH 02 TWR 05 LEFT,H,LA,900,672,Leased ,"18,000",@20,@27,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
139,15/3/2022,Aberdeen??FULL JADE MAN                           ,H,         C,342,236,Leased ,"9,000",@26,@38,GOOD PROFIT PROPERTY AGENCY                           
140,14/3/2022,Yau Tong??LAGUNA CITY PH 03 BLK 32                ,2,         E,861,687,Leased ,"16,900",@20,@25,CENTURY 21 HOME-LY PROPERTY AGENCY                    
141,14/3/2022,Tseung Kwan O??VERBENA HTS BLK 03 (FSS),H,H,481,358,Leased ,"12,300",@26,@34,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
142,13/3/2022,Tseung Kwan O??RADIANT TWRS BLK 01 (SCHS),H,C,782,601,Leased ,"16,000",@20,@27,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
143,13/3/2022,Tseung Kwan O??METRO CITY PH 01 TWR 03,L,C,511,364,Leased ,"13,500",@26,@37,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
144,13/3/2022,Aberdeen??,H,E,619,447,Leased ,"14,000",@23,@31,GOOD PROFIT PROPERTY AGENCY
145,13/3/2022,Tseung Kwan O??GRANDIOSE BLK 03,H,B,896,668,Leased ,"23,500",@26,@35,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
146,13/3/2022,Tseung Kwan O??LOHAS PARK PH 06 LP6 TWR 05,H,F,,348,Leased ,"13,500",,@39,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
147,12/3/2022,Lam Tin??SCENEWAY GDN BLK 07                     ,27,         G,785,612,Leased ,"19,000",@24,@31,CENTURY 21 HOME-LY PROPERTY AGENCY                    
148,11/3/2022,Aberdeen??,H,A,366,268,Leased ,"12,000",@33,@45,GOOD PROFIT PROPERTY AGENCY
149,11/3/2022,Tseung Kwan O??METRO CITY PH 01 TWR 02,H,B,510,364,Leased ,"13,000",@25,@36,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
150,10/3/2022,Aberdeen??,H,2,398,296,Leased ,"10,200",@26,@34,GOOD PROFIT PROPERTY AGENCY
151,9/3/2022,Aberdeen??,L,E,463,370,Leased ,"12,300",@27,@33,GOOD PROFIT PROPERTY AGENCY
