,address,district,S.A ft,deal date,deal price
109,Upper Riverbank・Tower 2・Middle Floor・Flat E,Kai Tak New Area,S.A. 585 ft²,"
                2022-04-25
              ","$  21,000"
110,De Novo・Tower H1・Lower Floor・Flat F,Kai Tak New Area,S.A. 476 ft²,"
                2022-04-25
              ","$  14,500"
111,The Avenue・Phase 2・Tower 2・Middle Floor・Flat F,Wan Chai,S.A. 438 ft²,"
                2022-04-25
              ","$  22,000"
112,The Pacifica・Phase 2・Tower 6 (Belle Mer)・Lower Floor・Flat F,Four Little Dragons,S.A. 445 ft²,"
                2022-04-25
              ","$  17,000"
113,Grand Central・Phase 1・Tower 2・Middle Floor・Flat B,Kwun Tong,S.A. 861 ft²,"
                2022-04-25
              ","$  29,000"
114,Laguna City・Phase 1・Block 8・Upper Floor・Flat E,Lam Tin,S.A. 687 ft²,"
                2022-04-25
              ","$  20,000"
115,Twin Regency・Tower 1・Middle Floor・Flat F,Long Ping,S.A. 374 ft²,"
                2022-04-25
              ","$  12,200"
116,Mayfair Gardens・Block 10・Upper Floor・Flat H,Tsing Yi,S.A. 478 ft²,"
                2022-04-25
              ","$  12,500"
117,Park Signature・Tower 10・Upper Floor・Flat E,Shap Pat Heung,S.A. 313 ft²,"
                2022-04-25
              ","$  10,000"
118,Macpherson Place・Tower 1A・Middle Floor・Flat A,Mong Kok,S.A. 688 ft²,"
                2022-04-25
              ","$  26,000"
119,La Salle Residence・Middle Floor・Flat C,Kowloon Tong,S.A. 403 ft²,"
                2022-04-24
              ","$  18,000"
120,Fleur Pavilia・Tower 2・Lower Floor・Flat B,North Point,S.A. 823 ft²,"
                2022-04-24
              ","$  38,000"
121,Miami Beach Towers・Tower 4・Upper Floor・Flat B,Tuen Mun Ferry Pier,S.A. 643 ft²,"
                2022-04-24
              ","$  14,800"
122,Primrose Court・Upper Floor・Flat D,Mid-Levels West,S.A. 504 ft²,"
                2022-04-24
              ","$  24,500"
123,City One Shatin・Site 7・Block 35・Lower Floor・Flat B,City One Shatin,S.A. 707 ft²,"
                2022-04-24
              ","$  19,000"
124,The Zutten・Lower Floor・Flat K,To Kwa Wan,S.A. 258 ft²,"
                2022-04-24
              ","$  13,000"
125,Rich Building・Lower Floor・Flat D,Tuen Mun San Hui,S.A. 297 ft²,"
                2022-04-24
              ","$  8,500"
126,K‧Summit・Tower 2B・Upper Floor・Flat A,Kai Tak New Area,S.A. 459 ft²,"
                2022-04-24
              ","$  17,200"
127,Hong Kong Gold Coast・Block 17・Upper Floor・Duplex C,So Kwun Wat,"S.A. 1,072 ft²","
                2022-04-24
              ","$  30,000"
128,Parkland Villas・Block 4・Lower Floor・Flat A,Siu Hong,S.A. 376 ft²,"
                2022-04-24
              ","$  11,500"
129,Heng Fa Chuen・Block 46・Middle Floor・Flat 1,Heng Fa Chuen,S.A. 826 ft²,"
                2022-04-24
              ","$  26,600"
130,Lohas Park・Phase 7A Montara・Tower 2 (2B)・Upper Floor・Flat B,Lohas Park,S.A. 541 ft²,"
                2022-04-24
              ","$  18,000"
131,Cullinan West・Phase 5 Cullinan West III・Tower 6・Upper Floor・Flat G,Nam Cheong Station,S.A. 273 ft²,"
                2022-04-24
              ","$  14,500"
132,The Wings・IIIA・Tower 1B・Upper Floor・Flat B,Tseung Kwan O,S.A. 700 ft²,"
                2022-04-24
              ","$  24,500"
133,K‧Summit・Tower 1A・Lower Floor・Flat G,Kai Tak New Area,S.A. 459 ft²,"
                2022-04-24
              ","$  16,800"
134,Sceneway Garden・Block 17・Upper Floor・Flat H,Lam Tin,S.A. 720 ft²,"
                2022-04-24
              ","$  23,800"
135,Park Island・Phase 5 Oceancrest・Tower 30・Middle Floor・Flat A,Ma Wan,S.A. 507 ft²,"
                2022-04-24
              ","$  13,600"
136,The Merton・Tower 2・Upper Floor・Flat E,Kennedy Town,S.A. 482 ft²,"
                2022-04-24
              ","$  21,000"
137,Chelsea Heights・Phase 1・Block 2・Middle Floor・Flat A,Tuen Mun North,S.A. 512 ft²,"
                2022-04-24
              ","$  14,300"
138,Lohas Park・Phase 8 Sea To Sky・Tower 2・Upper Floor・Flat B,Lohas Park,S.A. 735 ft²,"
                2022-04-24
              ","$  23,000"
139,Pacific Palisades・Phase 2・Tower 9・Lower Floor・Flat A,North Point Mid-Levels,S.A. 847 ft²,"
                2022-04-24
              ","$  35,000"
140,City One Shatin・Site 5・Block 47・Lower Floor・Flat D,City One Shatin,S.A. 304 ft²,"
                2022-04-24
              ","$  12,000"
141,Caribbean Coast・Phase 3 Carmel Cove・Tower 11・Upper Floor・Flat E,Tung Chung Town Centre,S.A. 548 ft²,"
                2022-04-24
              ","$  13,800"
142,Parkland Villas・Block 9・Middle Floor・Flat C,Siu Hong,S.A. 383 ft²,"
                2022-04-24
              ","$  11,500"
143,Verbena Heights・Block 5・Middle Floor・Flat F,Po Lam,S.A. 485 ft²,"
                2022-04-24
              ","$  14,200"
144,K‧Summit・Tower 1B・Middle Floor・Flat A,Kai Tak New Area,S.A. 293 ft²,"
                2022-04-24
              ","$  13,700"
145,K. City・Tower 8・Middle Floor・Flat A,Kai Tak New Area,S.A. 371 ft²,"
                2022-04-24
              ","$  15,000"
146,Grand Horizon・Block 2・Upper Floor・Flat G,Tsing Yi,S.A. 488 ft²,"
                2022-04-24
              ","$  15,000"
147,Causeway Centre・Block C・Middle Floor・Flat 8,Wan Chai,S.A. 357 ft²,"
                2022-04-23
              ","$  14,000"
148,Glorious Peak・Middle Floor・Flat E,Fanling,S.A. 562 ft²,"
                2022-04-23
              ","$  13,500"
149,Festival City・Phase 2・Tower 3・Lower Floor・Flat Sd,Tai Wai,S.A. 680 ft²,"
                2022-04-23
              ","$  21,800"
150,Ori・Tower 1・Lower Floor・Flat H,Tuen Mun North,S.A. 302 ft²,"
                2022-04-23
              ","$  10,500"
151,The Visionary・Tower 10・Upper Floor・Flat H,Tung Chung Town Centre,S.A. 448 ft²,"
                2022-04-23
              ","$  13,500"
152,Metro Town・Phase 2 Le Point・Tower 10・Middle Floor・Flat F,Tiu Keng Leng,S.A. 731 ft²,"
                2022-04-23
              ","$  23,000"
153,Grand Promenade・Tower 1・Middle Floor・Flat F,Sai Wan Ho,S.A. 499 ft²,"
                2022-04-23
              ","$  21,000"
154,Les Saisons・L Ete (Tower 2)・Lower Floor・Flat B,Sai Wan Ho,S.A. 561 ft²,"
                2022-04-23
              ","$  25,000"
155,Pacific Palisades・Phase 2・Tower 10・Upper Floor・Flat A,North Point Mid-Levels,"S.A. 1,502 ft²","
                2022-04-23
              ","$  68,000"
156,Island Harbourview・Tower 8・Upper Floor・Flat E,Olympic Station,S.A. 464 ft²,"
                2022-04-23
              ","$  19,000"
157,Island Resort・Tower 2・Lower Floor・Flat F,Siu Sai Wan,S.A. 457 ft²,"
                2022-04-23
              ","$  17,500"
158,Amoy Gardens・Phase 2A・Block J・Middle Floor・Flat 3,Kowloon Bay,S.A. 378 ft²,"
                2022-04-23
              ","$  14,000"
159,Amoy Gardens・Phase 1・Block D・Middle Floor・Flat 8,Kowloon Bay,S.A. 375 ft²,"
                2022-04-23
              ","$  14,000"
160,Banyan Garden・Phase 3・Tower 6・Middle Floor・Flat D,Four Little Dragons,S.A. 512 ft²,"
                2022-04-23
              ","$  18,000"
161,Mei Foo Sun Chuen・Phase 5・1-3 Humbert Street・Upper Floor・Flat C No. 3,Mei Foo,S.A. 509 ft²,"
                2022-04-23
              ","$  16,500"
162,Residence Oasis・Tower 5・Middle Floor・Flat G,Hang Hau,S.A. 490 ft²,"
                2022-04-23
              ","$  15,000"
163,Ocean Shores・Phase 1・Tower 2・Lower Floor・Flat C,Tiu Keng Leng,S.A. 505 ft²,"
                2022-04-23
              ","$  14,800"
164,Seaview Crescent・Block 1・Upper Floor・Flat E,Tung Chung Town Centre,S.A. 516 ft²,"
                2022-04-23
              ","$  14,800"
165,Belvedere Garden・Phase 3・Block 1・Middle Floor・Flat B,Belvedere,S.A. 742 ft²,"
                2022-04-23
              ","$  23,500"
166,Prima Villa・Block 2・Middle Floor・Flat H,Siu Lek Yuen,S.A. 393 ft²,"
                2022-04-23
              ","$  16,000"
167,Metro Harbour View・Phase 2・Tower 5・Middle Floor・Flat A,Tai Kok Tsui,S.A. 368 ft²,"
                2022-04-23
              ","$  15,000"
168,Lee Kee Building・Block C・Lower Floor・Flat C2,Kowloon Bay,S.A. 312 ft²,"
                2022-04-22
              ","$  12,300"
169,K‧Summit・Tower 2B・Upper Floor・Flat F,Kai Tak New Area,S.A. 331 ft²,"
                2022-04-22
              ","$  16,000"
170,K‧Summit・Tower 2A・Upper Floor・Flat A,Kai Tak New Area,S.A. 459 ft²,"
                2022-04-22
              ","$  16,200"
171,Harbour Green・Tower 3・Upper Floor・Flat H,Olympic Station,S.A. 482 ft²,"
                2022-04-22
              ","$  18,500"
172,Lohas Park・Phase 9A Marini・Tower 3 (3B)・Middle Floor・Flat B,Lohas Park,S.A. 370 ft²,"
                2022-04-22
              ","$  13,000"
173,Sceneway Garden・Block 2・Upper Floor・Flat A,Lam Tin,S.A. 537 ft²,"
                2022-04-22
              ","$  17,000"
174,Lohas Park・Phase 8 Sea To Sky・Tower 1・Upper Floor・Flat A,Lohas Park,"S.A. 1,075 ft²","
                2022-04-22
              ","$  36,000"
175,Lohas Park・Phase 9B Grand Marini・Tower 2 (2B)・Middle Floor・Flat E,Lohas Park,S.A. 374 ft²,"
                2022-04-22
              ","$  14,200"
176,Lohas Park・Phase 7B Grand Montara・Tower 1 (1B)・Middle Floor・Flat B,Lohas Park,S.A. 366 ft²,"
                2022-04-22
              ","$  13,800"
177,Lohas Park・Phase 9A Marini・Tower 3 (3A)・Upper Floor・Flat C,Lohas Park,S.A. 381 ft²,"
                2022-04-22
              ","$  14,000"
178,Upper Riverbank・Tower 1・Middle Floor・Flat H,Kai Tak New Area,S.A. 543 ft²,"
                2022-04-22
              ","$  21,500"
179,The Hermitage・Tower 7・Lower Floor・Flat A,Olympic Station,S.A. 540 ft²,"
                2022-04-22
              ","$  22,500"
180,The Visionary・Tower 3・Lower Floor・Flat E,Tung Chung Town Centre,S.A. 962 ft²,"
                2022-04-22
              ","$  27,500"
181,High Point・Lower Floor・Flat E,Sham Shui Po,S.A. 332 ft²,"
                2022-04-22
              ","$  13,800"
182,The Belchers・Phase 1・Tower 1・Middle Floor・Flat G,Mid-Levels West,"S.A. 1,244 ft²","
                2022-04-22
              ","$  62,500"
183,Lohas Park・Phase 9A Marini・Tower 3 (3B)・Lower Floor・Flat C,Lohas Park,S.A. 458 ft²,"
                2022-04-22
              ","$  14,500"
