,address,district,S.A ft,deal date,deal price
6946,Amoy Gardens・Phase 1・Block C・Lower Floor・Flat 8,Kowloon Bay,S.A. 375 ft²,"
                2021-12-14
              ","$  13,800"
6947,Grand Central・Phase 1・Tower 1・Lower Floor・Flat J,Kwun Tong,S.A. 583 ft²,"
                2021-12-14
              ","$  19,500"
6948,Manhattan Heights・Lower Floor・Flat G,Kennedy Town,S.A. 521 ft²,"
                2021-12-14
              ","$  26,500"
6949,Mayfair Gardens・Block 5・Middle Floor・Flat B,Tsing Yi,S.A. 401 ft²,"
                2021-12-14
              ","$  12,000"
6950,I-Home・Lower Floor・Flat D,Tai Kok Tsui,S.A. 0 ft²,"
                2021-12-14
              ","$  14,500"
6951,Caribbean Coast・Phase 1 Monterey Cove・Tower 1・Middle Floor・Flat A,Tung Chung Town Centre,S.A. 970 ft²,"
                2021-12-14
              ","$  22,500"
6952,Taikoo Shing・Horizon Gardens・(T-63) King Tien Mansion・Upper Floor・Flat G,Taikoo Shing,S.A. 589 ft²,"
                2021-12-14
              ","$  24,500"
6953,Winfield Building・Block B・Middle Floor・Flat 2,Happy Valley,"S.A. 1,513 ft²","
                2021-12-14
              ","$  80,000"
6954,Bellagio・Phase 1・Tower 7・Middle Floor・Flat E,Sham Tseng,S.A. 517 ft²,"
                2021-12-14
              ","$  14,000"
6955,King Yu Court・Middle Floor・Flat A,North Point Mid-Levels,"S.A. 1,122 ft²","
                2021-12-13
              ","$  44,000"
6956,La Vetta,Kau To Shan,"S.A. 1,843 ft²","
                2021-12-13
              ","$  53,000"
6957,Festival City・Phase 3・Tower 5・Middle Floor・Flat Nb,Tai Wai,S.A. 961 ft²,"
                2021-12-13
              ","$  32,000"
6958,Emerald Bay・Phase 2・Tower 3・Middle Floor・Flat N,So Kwun Wat,S.A. 223 ft²,"
                2021-12-13
              ","$  7,000"
6959,The Beaumount・Phase 1・Tower 2・Middle Floor・Flat B,Lohas Park,S.A. 498 ft²,"
                2021-12-13
              ","$  15,300"
6960,Cheung On Estate・On Tao House (Block 4)・Middle Floor・Flat 33,Tsing Yi,S.A. 354 ft²,"
                2021-12-12
              ","$  10,300"
6961,Uptown Plaza・Block 5・Lower Floor・Flat G,Tai Po Market,S.A. 489 ft²,"
                2021-12-12
              ","$  16,000"
6962,Yoho Town・Phase 1・Block 6・Lower Floor・Flat A,Yuen Long Station,S.A. 422 ft²,"
                2021-12-12
              ","$  13,200"
6963,Palm Springs・Phase 1D Paloma Peony,Palm Springs | Fairview,"S.A. 1,372 ft²","
                2021-12-12
              ","$  33,000"
6964,Lung Poon Court・Lung Wu House (Block B)・Middle Floor・Flat 10,Diamond Hill,S.A. 426 ft²,"
                2021-12-12
              ","$  15,300"
6965,Novum East・Upper Floor・Flat G,Quarry Bay,S.A. 301 ft²,"
                2021-12-11
              ","$  16,000"
6966,Dragons Range・Court A Tower 2・Middle Floor・Flat D,Kau To Shan,S.A. 735 ft²,"
                2021-12-11
              ","$  23,500"
6967,Monte Vista・Block 8・Lower Floor・Flat C,Ma On Shan,S.A. 521 ft²,"
                2021-12-11
              ","$  18,200"
6968,Lohas Park・Phase 7B Grand Montara・Tower 1 (1B)・Lower Floor・Flat C,Lohas Park,S.A. 464 ft²,"
                2021-12-11
              ","$  16,000"
6969,Le Riviera・Middle Floor・Flat A,Shau Kei Wan,S.A. 431 ft²,"
                2021-12-11
              ","$  18,000"
6970,Richland Gardens・Block 15・Upper Floor・Flat G,Kowloon Bay,S.A. 407 ft²,"
                2021-12-11
              ","$  12,500"
6971,Aria Kowloon Peak・Tower 6・Upper Floor・Flat E,Choi Hung,S.A. 713 ft²,"
                2021-12-11
              ","$  24,000"
6972,Mei Foo Sun Chuen・Phase 3・6-8 Glee Path・Middle Floor・Flat A No. 6,Mei Foo,S.A. 670 ft²,"
                2021-12-11
              ","$  18,000"
6973,The Papillons・Tower 6・Lower Floor・Flat A,Tseung Kwan O,S.A. 836 ft²,"
                2021-12-11
              ","$  30,000"
6974,Coastal Skyline・Phase 3 La Rossa・La Rossa B (Tower 8)・Middle Floor・Flat A,Tung Chung Town Centre,S.A. 777 ft²,"
                2021-12-11
              ","$  20,000"
6975,Providence Bay・Phase 2 Providence Peak・Tower 2・Middle Floor・Flat B,Pak Shek Kok | Tai Po Mid-levels,"S.A. 1,531 ft²","
                2021-12-11
              ","$  42,000"
6976,Cheung On Estate・On Pak House (Block 7)・Upper Floor・Flat 14,Tsing Yi,S.A. 443 ft²,"
                2021-12-11
              ","$  14,000"
6977,Sunshine City・Phase 5 The Tolo Place・Block 4・Middle Floor・Flat F,Ma On Shan,S.A. 414 ft²,"
                2021-12-11
              ","$  15,300"
6978,Oceanaire・Tower 2B・Upper Floor・Flat A,Ma On Shan,S.A. 942 ft²,"
                2021-12-11
              ","$  27,000"
6979,City One Shatin・Site 4・Block 41・Lower Floor・Flat C,City One Shatin,S.A. 304 ft²,"
                2021-12-11
              ","$  12,800"
6980,Eltanin‧Square Mile・Tower 2・Lower Floor・Flat L,Tai Kok Tsui,S.A. 194 ft²,"
                2021-12-11
              ","$  10,000"
6981,The Spectra・Tower 5・Upper Floor・Flat H,Long Ping,S.A. 700 ft²,"
                2021-12-11
              ","$  20,000"
6982,The Beaumount・Phase 1・Tower 5・Lower Floor・Flat C,Lohas Park,S.A. 501 ft²,"
                2021-12-11
              ","$  15,000"
6983,The Avenue・Phase 2・Tower 3・Middle Floor・Flat K,Wan Chai,S.A. 432 ft²,"
                2021-12-11
              ","$  25,500"
6984,Taikoo Shing・Kwun Hoi Terrace・(T-44) Pak Hoi Mansion・Lower Floor・Flat A,Taikoo Shing,S.A. 708 ft²,"
                2021-12-11
              ","$  25,500"
6985,Goodview Garden・Tower 3・Middle Floor・Flat 1,Tuen Mun South,S.A. 309 ft²,"
                2021-12-11
              ","$  11,000"
6986,Vibe Centro・Tower 1B・Lower Floor・Flat B,Kai Tak New Area,S.A. 321 ft²,"
                2021-12-11
              ","$  16,300"
6987,Alpine Garden・Block 1・Upper Floor・Flat A,Chi Lok,S.A. 582 ft²,"
                2021-12-10
              ","$  13,800"
6988,Shatin Centre・Kwong Ning Building (Block H)・Middle Floor・Flat B,Sha Tin,S.A. 297 ft²,"
                2021-12-10
              ","$  15,000"
6989,The Latitude・Tower 2B・Lower Floor・Flat A,San Po Kong,S.A. 454 ft²,"
                2021-12-10
              ","$  15,500"
6990,Coastal Skyline・Phase 1・Block 1・Middle Floor・Flat A,Tung Chung Town Centre,S.A. 802 ft²,"
                2021-12-10
              ","$  21,000"
6991,Tuen Mun Town Plaza・Phase 1・Block 4・Middle Floor・Flat A,Tuen Mun Town Centre,S.A. 393 ft²,"
                2021-12-10
              ","$  10,900"
6992,Lohas Park・Phase 5A Malibu・Tower 1A・Lower Floor・Flat B,Lohas Park,S.A. 845 ft²,"
                2021-12-10
              ","$  26,700"
6993,Island Place・Block 2 (Two Island Place)・Middle Floor・Flat D,North Point,S.A. 653 ft²,"
                2021-12-10
              ","$  25,800"
6994,Coho・Middle Floor・Flat A,Tai Hang,S.A. 316 ft²,"
                2021-12-10
              ","$  18,500"
6995,Victoria Harbour・Phase 1B・Tower 6・Upper Floor・Flat E,North Point,S.A. 381 ft²,"
                2021-12-10
              ","$  29,670"
6996,Lohas Park・Phase 4A Wings At Sea・Tower 1B・Upper Floor・Flat C,Lohas Park,S.A. 489 ft²,"
                2021-12-10
              ","$  14,500"
6997,Banyan Garden・Phase 3・Tower 6・Lower Floor・Flat H,Four Little Dragons,S.A. 440 ft²,"
                2021-12-10
              ","$  16,680"
6998,Grand Central・Phase 1・Tower 2・Upper Floor・Flat D,Kwun Tong,S.A. 460 ft²,"
                2021-12-10
              ","$  18,800"
6999,Mei Foo Sun Chuen・Phase 7・14-16 Lai Wan Road・Upper Floor・Flat C No. 16,Mei Foo,S.A. 709 ft²,"
                2021-12-10
              ","$  24,000"
7000,The Wings・Ocean Wings・Tower 7A・Middle Floor・Flat G,Tseung Kwan O,S.A. 363 ft²,"
                2021-12-10
              ","$  16,500"
7001,Residence Oasis・Tower 1・Lower Floor・Flat F,Hang Hau,S.A. 652 ft²,"
                2021-12-10
              ","$  23,000"
7002,Lohas Park・Phase 3A Hemera・Amber (Tower 3)・Middle Floor・Flat Lb,Lohas Park,S.A. 941 ft²,"
                2021-12-10
              ","$  28,000"
7003,Cullinan West・Phase 2A・Tower 2B・Middle Floor・Flat K,Nam Cheong Station,S.A. 442 ft²,"
                2021-12-10
              ","$  24,500"
7004,Tsuen Kam Centre・Block 2・Lower Floor・Flat A,Tsuen Wan Town Centre,S.A. 375 ft²,"
                2021-12-10
              ","$  13,000"
7005,Luk Yeung Sun Chuen・Block J・Middle Floor・Flat 1,Luk Yeung,S.A. 582 ft²,"
                2021-12-10
              ","$  18,500"
7006,Mei Foo Sun Chuen・Phase 1・5-7 Broadway・Upper Floor・Flat B No. 7,Mei Foo,S.A. 719 ft²,"
                2021-12-10
              ","$  18,800"
7007,Mei Foo Sun Chuen・Phase 3・61-63 Broadway・Upper Floor・Flat B No. 63,Mei Foo,S.A. 511 ft²,"
                2021-12-10
              ","$  18,000"
7008,Lime Stardom・Lower Floor・Flat L,Tai Kok Tsui,S.A. 367 ft²,"
                2021-12-10
              ","$  15,800"
7009,Century Link・Phase 2・Tower 2B・Lower Floor・Flat 11,Tung Chung Town Centre,S.A. 379 ft²,"
                2021-12-10
              ","$  11,500"
7010,Solaria・Tower 10・Middle Floor・Flat F,Pak Shek Kok | Tai Po Mid-levels,S.A. 325 ft²,"
                2021-12-10
              ","$  13,000"
7011,Central Park Towers・Phase 1・Tower 2・Lower Floor・Flat C,Tin Shui Wai,S.A. 493 ft²,"
                2021-12-10
              ","$  13,000"
7012,Kingswood Villas・Phase 6 Maywood Court・Block 4・Lower Floor・Flat F,Tin Shui Wai,S.A. 441 ft²,"
                2021-12-10
              ","$  10,800"
7013,Twin Regency・Tower 2・Middle Floor・Flat M,Long Ping,S.A. 308 ft²,"
                2021-12-10
              ","$  11,300"
7014,Wai Wah Centre・Block 2・Upper Floor・Flat H,Sha Tin,S.A. 297 ft²,"
                2021-12-10
              ","$  11,500"
7015,Century Link・Phase 1・Tower 6B・Middle Floor・Flat 5,Tung Chung Town Centre,S.A. 408 ft²,"
                2021-12-10
              ","$  12,500"
7016,Sunshine City・Phase 4・Block J・Middle Floor・Flat 6,Ma On Shan,S.A. 363 ft²,"
                2021-12-10
              ","$  13,800"
7017,49B Shouson Hill Road・No. 49B,Shouson Hill,"S.A. 2,385 ft²","
                2021-12-10
              ","$  96,000"
7018,Sorrento・Phase 1・Block 3・Upper Floor・Flat F,Kowloon Station,S.A. 973 ft²,"
                2021-12-10
              ","$  44,000"
7019,Taikoo Shing・Kao Shan Terrace・(T-11) Po Shan Mansion・Middle Floor・Flat D,Taikoo Shing,S.A. 689 ft²,"
                2021-12-10
              ","$  24,800"
7020,The Pavilia Bay・Tower 2B・Middle Floor・Flat F,Tsuen Wan West,S.A. 392 ft²,"
                2021-12-10
              ","$  16,500"
7021,Coastal Skyline・Phase 4 Le Bleu Deux・Block 5・Lower Floor・Flat A,Tung Chung Town Centre,S.A. 749 ft²,"
                2021-12-10
              ","$  23,500"
7022,Emerald Bay・Phase 1・Tower 2・Lower Floor・Flat G,So Kwun Wat,S.A. 224 ft²,"
                2021-12-10
              ","$  7,300"
7023,T Plus・Upper Floor・Flat 3,Tuen Mun San Hui,S.A. 164 ft²,"
                2021-12-10
              ","$  8,000"
7024,Park Yoho・Phase 2B Park Yoho Napoli・Tower 20・Upper Floor・Flat B,Kam Tin,S.A. 932 ft²,"
                2021-12-10
              ","$  23,000"
7025,Jumbo Court・Upper Floor・Flat L,Deep Bay,S.A. 498 ft²,"
                2021-12-10
              ","$  16,000"
7026,Yoho Town・Phase 2 Yoho Midtown・Block M9・Lower Floor・Flat F,Yuen Long Station,S.A. 534 ft²,"
                2021-12-10
              ","$  16,200"
7027,Sorrento・Phase 1・Block 3・Upper Floor・Flat A,Kowloon Station,S.A. 632 ft²,"
                2021-12-10
              ","$  34,000"
7028,The Campton・Middle Floor・Flat J,Cheung Sha Wan,S.A. 539 ft²,"
                2021-12-09
              ","$  20,000"
7029,Caribbean Coast・Phase 1 Monterey Cove・Tower 3・Upper Floor・Flat D,Tung Chung Town Centre,S.A. 636 ft²,"
                2021-12-09
              ","$  17,000"
7030,The Summa・Tower 2・Middle Floor・Flat B,Mid-Levels West,S.A. 505 ft²,"
                2021-12-09
              ","$  32,000"
7031,Eivissa Crest・Middle Floor・Flat C,Shek Tong Tsui,S.A. 290 ft²,"
                2021-12-09
              ","$  16,000"
7032,Lohas Park・Phase 5A Malibu・Tower 1A・Lower Floor・Flat D,Lohas Park,S.A. 559 ft²,"
                2021-12-09
              ","$  21,500"
7033,Harbour Green・Tower 6・Upper Floor・Flat D,Olympic Station,S.A. 478 ft²,"
                2021-12-09
              ","$  19,500"
7034,Metro Town・Phase 2 Le Point・Tower 10・Middle Floor・Flat A,Tiu Keng Leng,S.A. 651 ft²,"
                2021-12-09
              ","$  20,800"
7035,Kwai Chung Plaza・Block 3・Lower Floor・Flat D,Ha Kwai Chung,S.A. 318 ft²,"
                2021-12-09
              ","$  14,500"
7036,Hin Ming Court・Lower Floor・Flat 11,Hang Hau,S.A. 216 ft²,"
                2021-12-09
              ","$  9,200"
7037,Caribbean Coast・Phase 3 Carmel Cove・Tower 9・Lower Floor・Flat F,Tung Chung Town Centre,S.A. 563 ft²,"
                2021-12-09
              ","$  15,000"
7038,The Spectra・Tower 3・Middle Floor・Flat B,Long Ping,S.A. 491 ft²,"
                2021-12-09
              ","$  14,800"
7039,The Spectra・Tower 3・Lower Floor・Flat G,Long Ping,S.A. 719 ft²,"
                2021-12-09
              ","$  21,500"
7040,Residence Bel-Air・Phase 1・Tower 1・Upper Floor・Flat C,Residence Bel-air,S.A. 618 ft²,"
                2021-12-09
              ","$  31,000"
7041,Ocean Pride・Phase 3A Ocean Supreme・Tower 2A・Upper Floor・Flat D,Tsuen Wan West,S.A. 797 ft²,"
                2021-12-09
              ","$  32,000"
7042,Emerald Bay・Phase 2・Tower 3・Upper Floor・Flat C,So Kwun Wat,S.A. 307 ft²,"
                2021-12-08
              ","$  9,800"
7043,Coastal Skyline・Phase 4 Le Bleu Deux・Block 3・Middle Floor・Flat D,Tung Chung Town Centre,S.A. 749 ft²,"
                2021-12-08
              ","$  22,000"
7044,The Sherwood・Tower 2・Middle Floor・Flat D,Lam Tei,S.A. 568 ft²,"
                2021-12-08
              ","$  14,200"
7045,The Wings・II・Tower 5A・Middle Floor・Flat A,Tseung Kwan O,S.A. 828 ft²,"
                2021-12-08
              ","$  31,000"
7046,Lake Silver・Tower 3・Upper Floor・Flat H,Ma On Shan,S.A. 563 ft²,"
                2021-12-08
              ","$  19,000"
7047,Oceanaire・Tower 2B・Upper Floor・Flat B,Ma On Shan,S.A. 848 ft²,"
                2021-12-08
              ","$  27,500"
7048,Hong Kong Gold Coast・Block 19・Upper Floor・Flat B,So Kwun Wat,S.A. 875 ft²,"
                2021-12-08
              ","$  24,800"
7049,Aqua Marine・Tower 1・Middle Floor・Flat F,Four Little Dragons,S.A. 499 ft²,"
                2021-12-08
              ","$  18,500"
7050,Island Resort・Tower 1・Lower Floor・Flat A,Siu Sai Wan,S.A. 615 ft²,"
                2021-12-08
              ","$  24,000"
7051,Novum Point・Middle Floor・Flat A,North Point,S.A. 365 ft²,"
                2021-12-08
              ","$  20,500"
7052,Aqua Marine・Tower 3・Middle Floor・Flat A,Four Little Dragons,S.A. 581 ft²,"
                2021-12-08
              ","$  23,000"
7053,Lohas Park・Phase 6 Lp6・Tower 1・Lower Floor・Flat E,Lohas Park,S.A. 644 ft²,"
                2021-12-08
              ","$  22,000"
7054,The Metro City・Phase 2・Tower 10・Middle Floor・Flat C,Po Lam,S.A. 363 ft²,"
                2021-12-08
              ","$  14,500"
7055,The Victoria Towers・Tower 3・Middle Floor・Flat C,Tsim Sha Tsui,S.A. 828 ft²,"
                2021-12-08
              ","$  38,500"
7056,Cullinan West・Phase 5 Cullinan West III・Tower 8・Middle Floor・Flat H,Nam Cheong Station,S.A. 391 ft²,"
                2021-12-08
              ","$  19,800"
7057,Century Link・Phase 2・Tower 2B・Upper Floor・Flat 1,Tung Chung Town Centre,S.A. 453 ft²,"
                2021-12-08
              ","$  14,300"
7058,The Riverpark・Tower 2・Middle Floor・Flat D,Tai Wai,S.A. 725 ft²,"
                2021-12-08
              ","$  28,500"
7059,Bayshore Towers・Tower 2・Middle Floor・Flat C,Ma On Shan,S.A. 400 ft²,"
                2021-12-08
              ","$  16,500"
7060,Lohas Park・Phase 4A Wings At Sea・Tower 2B・Middle Floor・Flat C,Lohas Park,S.A. 489 ft²,"
                2021-12-08
              ","$  17,000"
7061,Maritime Bay・Block 2・Lower Floor・Flat B,Hang Hau,S.A. 672 ft²,"
                2021-12-08
              ","$  23,500"
7062,The Harbourside・Tower 2・Lower Floor・Flat A,Kowloon Station,S.A. 751 ft²,"
                2021-12-08
              ","$  39,000"
7063,The Horizon・Phase 1・Court B Tower 2・Middle Floor・Flat B,Pak Shek Kok | Tai Po Mid-levels,S.A. 504 ft²,"
                2021-12-08
              ","$  18,000"
7064,Hampton Place・Tower 1・Upper Floor・Flat E,Olympic Station,S.A. 462 ft²,"
                2021-12-08
              ","$  17,000"
7065,Serenity Park・Phase 2・Block 17・Lower Floor・Flat E,Tai Wo,S.A. 569 ft²,"
                2021-12-08
              ","$  15,500"
7066,Ho Shun King Building・Block 2 (Block B)・Middle Floor・Flat E (Flat 5),Yuen Long Town Centre,S.A. 358 ft²,"
                2021-12-08
              ","$  10,000"
7067,Sol City・Tower 2・Lower Floor・Flat E,Long Ping,S.A. 489 ft²,"
                2021-12-08
              ","$  16,500"
7068,Residence Bel-Air・Phase 6 Bel-Air No. 8・Tower 1・Lower Floor・Flat A,Residence Bel-air,S.A. 733 ft²,"
                2021-12-08
              ","$  30,000"
7069,South Horizons・Phase 3・Mei Hay Court (Block 18)・Lower Floor・Flat G,South Horizons,S.A. 888 ft²,"
                2021-12-08
              ","$  31,000"
7070,Braemar Hill Mansions・Block 13・Lower Floor・Flat C,North Point Mid-Levels,"S.A. 1,090 ft²","
                2021-12-08
              ","$  50,000"
7071,The Pavilia Hill・Tower 3・Lower Floor・Flat A,North Point Mid-Levels,S.A. 913 ft²,"
                2021-12-08
              ","$  47,000"
7072,Grand Promenade・Tower 6・Middle Floor・Flat A,Sai Wan Ho,S.A. 675 ft²,"
                2021-12-08
              ","$  31,500"
7073,Tung Chung Crescent・Phase 2・Block 6・Lower Floor・Flat A,Tung Chung Town Centre,S.A. 772 ft²,"
                2021-12-08
              ","$  21,500"
7074,The Parkville・Middle Floor・Flat D,Tuen Mun Town Centre,S.A. 745 ft²,"
                2021-12-08
              ","$  21,000"
7075,Shatin Centre・Hoi Ning Building (Block B)・Middle Floor・Flat G,Sha Tin,S.A. 310 ft²,"
                2021-12-08
              ","$  14,300"
7076,Park Yoho・Phase 2C Park Yoho Milano・Tower 32A・Upper Floor・Flat A,Kam Tin,S.A. 405 ft²,"
                2021-12-08
              ","$  12,500"
7077,South Horizons・Phase 1・Hoi Sing Court (Block 1)・Lower Floor・Flat A,South Horizons,S.A. 631 ft²,"
                2021-12-08
              ","$  19,500"
7078,Central Park Towers・Phase 1・Tower 6・Middle Floor・Flat F,Tin Shui Wai,S.A. 501 ft²,"
                2021-12-08
              ","$  12,200"
7079,The Avenue・Phase 2・Tower 2・Lower Floor・Flat K,Wan Chai,S.A. 521 ft²,"
                2021-12-08
              ","$  29,000"
7080,The Belchers・Phase 2・Tower 5・Lower Floor・Flat H,Mid-Levels West,"S.A. 1,084 ft²","
                2021-12-08
              ","$  52,000"
7081,Grand Yoho・Phase 2・Tower 8・Lower Floor・Flat B,Yuen Long Station,S.A. 415 ft²,"
                2021-12-08
              ","$  15,300"
7082,Yoho Town・Phase 2 Yoho Midtown・Block M3・Upper Floor・Flat B,Yuen Long Station,S.A. 475 ft²,"
                2021-12-08
              ","$  15,000"
7083,Cheung Fat Estate・King Fat House (Block 1)・Upper Floor・Flat 18,Tsing Yi,S.A. 217 ft²,"
                2021-12-08
              ","$  8,500"
7084,Caribbean Coast・Phase 2 Albany Cove・Tower 7・Middle Floor・Flat H,Tung Chung Town Centre,S.A. 900 ft²,"
                2021-12-08
              ","$  21,000"
7085,Ocean Shores・Phase 2・Tower 7・Middle Floor・Flat H,Tiu Keng Leng,S.A. 498 ft²,"
                2021-12-07
              ","$  18,800"
7086,Dragon View Garden・Upper Floor・Flat A,North Point Mid-Levels,S.A. 830 ft²,"
                2021-12-07
              ","$  41,000"
7087,One Silversea・Tower 5・Lower Floor・Flat C,Olympic Station,S.A. 665 ft²,"
                2021-12-07
              ","$  32,000"
7088,Whampoa Garden・Phase 11 Bauhinia Mansions・Block 7・Lower Floor・Flat B,Whampoa,S.A. 505 ft²,"
                2021-12-07
              ","$  17,600"
7089,Banyan Garden・Phase 2・Tower 7・Lower Floor・Flat B,Four Little Dragons,S.A. 473 ft²,"
                2021-12-07
              ","$  18,000"
7090,Kingswood Villas・Phase 3 Chestwood Court・Block 2・Lower Floor・Flat C,Tin Shui Wai,S.A. 551 ft²,"
                2021-12-07
              ","$  13,800"
7091,City One Shatin・Site 1・Block 14・Lower Floor・Flat D,City One Shatin,S.A. 853 ft²,"
                2021-12-07
              ","$  24,800"
7092,Yoho Town・Phase 1・Block 5・Lower Floor・Flat A,Yuen Long Station,S.A. 433 ft²,"
                2021-12-07
              ","$  13,000"
7093,Scenic Heights・Block 1・Upper Floor・Flat D,Mid-Levels West,"S.A. 1,081 ft²","
                2021-12-07
              ","$  41,500"
7094,Greenery Plaza・Block C・Lower Floor・Flat 3,Tai Wo,S.A. 286 ft²,"
                2021-12-07
              ","$  9,500"
7095,Southorn Garden・Upper Floor・Flat 10,Wan Chai,S.A. 423 ft²,"
                2021-12-07
              ","$  18,200"
7096,Tsuen Fung Centre・Lower Floor・Flat G,Tsuen Wan Town Centre,S.A. 493 ft²,"
                2021-12-07
              ","$  15,800"
7097,Rambler Crest・Tower 3・Lower Floor・Flat F,Tsing Yi,S.A. 488 ft²,"
                2021-12-07
              ","$  13,000"
7098,The Avenue・Phase 2・Tower 2・Middle Floor・Flat R,Wan Chai,S.A. 340 ft²,"
                2021-12-07
              ","$  18,000"
7099,Caribbean Coast・Phase 3 Carmel Cove・Tower 10・Lower Floor・Flat B,Tung Chung Town Centre,S.A. 748 ft²,"
                2021-12-07
              ","$  17,500"
7100,Greenfield Garden・Phase 1・Tower 3・Upper Floor・Flat C,Tsing Yi,S.A. 365 ft²,"
                2021-12-07
              ","$  13,300"
7101,Artisan House・Upper Floor・Flat B,Sai Ying Pun,S.A. 462 ft²,"
                2021-12-06
              ","$  27,000"
7102,Ka Yee Court・Lower Floor・Flat A,Mid-Levels West,S.A. 341 ft²,"
                2021-12-06
              ","$  17,000"
7103,Mount Regency・Phase 1・Tower 1B・Upper Floor・Flat H,Tuen Mun San Hui,S.A. 386 ft²,"
                2021-12-06
              ","$  13,000"
7104,Heng Fa Chuen・Block 49・Upper Floor・Flat 3,Heng Fa Chuen,S.A. 645 ft²,"
                2021-12-06
              ","$  21,500"
7105,Emerald Bay・Phase 2・Tower 5・Middle Floor・Flat Q,So Kwun Wat,S.A. 233 ft²,"
                2021-12-06
              ","$  7,100"
7106,Island Harbourview・Tower 3・Upper Floor・Flat G,Olympic Station,S.A. 459 ft²,"
                2021-12-06
              ","$  19,500"
7107,The Long Beach・Tower 9・Middle Floor・Flat D,Olympic Station,S.A. 564 ft²,"
                2021-12-06
              ","$  25,800"
7108,Regency Bay・Phase 1・Tower 2・Lower Floor・Flat F,Tuen Mun South,S.A. 313 ft²,"
                2021-12-06
              ","$  12,300"
7109,Emerald Bay・Phase 2・Tower 3・Upper Floor・Flat N,So Kwun Wat,S.A. 223 ft²,"
                2021-12-06
              ","$  7,000"
7110,Cullinan West・Phase 3 Cullinan West II・Tower 3B・Lower Floor・Flat J,Nam Cheong Station,S.A. 352 ft²,"
                2021-12-06
              ","$  18,000"
7111,Parker33・Lower Floor・Flat B,Sai Wan Ho,S.A. 210 ft²,"
                2021-12-06
              ","$  10,800"
7112,Tsuen King Garden・Phase 1・Block 3・Upper Floor・Flat C,Tsuen King Circuit,S.A. 355 ft²,"
                2021-12-06
              ","$  12,500"
7113,City One Shatin・Site 4・Block 44・Lower Floor・Flat D,City One Shatin,S.A. 304 ft²,"
                2021-12-05
              ","$  12,500"
7114,Coastal Skyline・Phase 3 La Rossa・La Rossa A (Tower 7)・Lower Floor・Flat G,Tung Chung Town Centre,S.A. 441 ft²,"
                2021-12-05
              ","$  13,500"
7115,Century Link・Phase 2・Tower 1A・Middle Floor・Flat 3,Tung Chung Town Centre,S.A. 453 ft²,"
                2021-12-05
              ","$  14,500"
7116,Galaxia・Tower E・Lower Floor・Flat 5,Diamond Hill,S.A. 593 ft²,"
                2021-12-05
              ","$  19,500"
7117,Kingswood Villas・Phase 2 Sherwood Court・Block 4・Lower Floor・Flat B,Tin Shui Wai,S.A. 633 ft²,"
                2021-12-05
              ","$  13,800"
7118,The Consonance・Upper Floor・Flat E,Tin Hau,S.A. 265 ft²,"
                2021-12-05
              ","$  16,000"
7119,Heng Fa Chuen・Block 33・Lower Floor・Flat 4,Heng Fa Chuen,S.A. 560 ft²,"
                2021-12-05
              ","$  16,800"
7120,Victoria Harbour・Phase 1B・Tower 5A・Lower Floor・Flat F,North Point,S.A. 286 ft²,"
                2021-12-05
              ","$  18,000"
7121,Grand Central・Phase 2・Tower 3・Lower Floor・Flat G,Kwun Tong,S.A. 380 ft²,"
                2021-12-05
              ","$  16,500"
7122,Artisan Garden・Upper Floor・Flat B3,To Kwa Wan,S.A. 300 ft²,"
                2021-12-05
              ","$  16,200"
7123,Residence Oasis・Tower 7・Upper Floor・Flat F,Hang Hau,S.A. 510 ft²,"
                2021-12-05
              ","$  17,600"
7124,Cetus‧Square Mile・Tower 1・Lower Floor・Flat F,Tai Kok Tsui,S.A. 253 ft²,"
                2021-12-05
              ","$  13,800"
7125,Sky Tower・Block 1・Middle Floor・Flat B,To Kwa Wan,S.A. 520 ft²,"
                2021-12-05
              ","$  19,000"
7126,Luk Yeung Sun Chuen・Block G・Lower Floor・Flat 6,Luk Yeung,S.A. 445 ft²,"
                2021-12-05
              ","$  16,000"
7127,Cullinan West・Phase 3 Cullinan West II・Tower 3B・Upper Floor・Flat B,Nam Cheong Station,S.A. 349 ft²,"
                2021-12-05
              ","$  21,000"
7128,The Merton・Tower 2・Middle Floor・Flat B,Kennedy Town,S.A. 490 ft²,"
                2021-12-05
              ","$  30,000"
7129,Grand Yoho・Phase 1・Tower 2・Upper Floor・Flat G,Yuen Long Station,S.A. 520 ft²,"
                2021-12-05
              ","$  17,500"
7130,Tai Po Centre・Phase 6・Block 15・Upper Floor・Flat G,Tai Po Town Centre,S.A. 379 ft²,"
                2021-12-05
              ","$  12,300"
7131,Kit Man House・No. 5,Yuen Long Town Centre,S.A. 555 ft²,"
                2021-12-05
              ","$  16,500"
7132,Alassio・Upper Floor・Flat A,Mid-Levels West,"S.A. 1,012 ft²","
                2021-12-05
              ","$  67,000"
7133,The Horizon・Phase 2 Centra Horizon・Tower 13・Middle Floor・Flat B,Pak Shek Kok | Tai Po Mid-levels,S.A. 251 ft²,"
                2021-12-05
              ","$  11,000"
7134,Tai Hing Gardens・Phase 2・Tower 8・Middle Floor・Flat C,Tuen Mun North,S.A. 447 ft²,"
                2021-12-05
              ","$  13,000"
7135,Laguna Verde・Phase 5(4B) Ocean Vista・Tower 22・Lower Floor・Flat A,Laguna,S.A. 787 ft²,"
                2021-12-05
              ","$  29,500"
