,Floor,SA (ft2),Price(HK$),Price/ft2(SA),Date,District
270,M,354,13500,38.14,2022-01-23,Tseung Kwan O
271,M,517,15000,29.01,2022-01-22,Yau Tong
272,H,633,23500,37.12,2022-01-22,Tseung Kwan O
273,L,406,15300,37.68,2022-01-22,Tseung Kwan O
274,H,406,15800,38.92,2022-01-22,Tseung Kwan O
275,M,465,13500,29.03,2022-01-22,Tseung Kwan O
276,L,406,13000,32.02,2022-01-19,Aberdeen
277,H,381,16000,41.99,2022-01-18,Tseung Kwan O
278,L,364,13500,37.09,2022-01-18,Tseung Kwan O
279,L,410,13500,32.93,2022-01-17,Tseung Kwan O
280,H,364,14500,39.84,2022-01-17,Tseung Kwan O
281,H,438,16000,36.53,2022-01-17,Aberdeen
282,L,443,12000,27.09,2022-01-16,Tseung Kwan O
283,L,748,13500,18.05,2022-01-16,Yau Tong
284,H,556,16500,29.68,2022-01-16,Tseung Kwan O
285,H,466,16000,34.33,2022-01-16,Tseung Kwan O
286,L,748,25000,33.42,2022-01-15,Yau Tong
287,M,748,24000,32.09,2022-01-15,Yau Tong
288,H,434,17000,39.17,2022-01-15,Tseung Kwan O
289,M,698,21000,30.09,2022-01-15,Tseung Kwan O
290,M,687,20000,29.11,2022-01-13,Yau Tong
291,L,538,19000,35.32,2022-01-13,Tseung Kwan O
292,M,691,21500,31.11,2022-01-13,Tseung Kwan O
293,H,438,15600,35.62,2022-01-13,Aberdeen
294,L,368,13000,35.33,2022-01-13,Aberdeen
295,L,517,13800,26.69,2022-01-12,Yau Tong
296,L,310,11000,35.48,2022-01-12,Aberdeen
297,H,426,13500,31.69,2022-01-12,Tseung Kwan O
298,M,537,17000,31.66,2022-01-11,Lam Tin
299,L,517,16500,31.91,2022-01-10,Yau Tong
300,M,592,15200,25.68,2022-01-10,Tseung Kwan O
301,H,443,15000,33.86,2022-01-09,Aberdeen
302,L,526,17800,33.84,2022-01-09,Tseung Kwan O
303,H,279,11000,39.43,2022-01-09,Aberdeen
305,H,595,16000,26.89,2022-01-09,Tseung Kwan O
306,M,214,10200,47.66,2022-01-08,Aberdeen
307,H,443,15000,33.86,2022-01-08,Aberdeen
308,H,211,9600,45.5,2022-01-07,Tseung Kwan O
309,H,377,14800,39.26,2022-01-07,Tseung Kwan O
310,H,363,11000,30.3,2022-01-07,Aberdeen
311,M,522,16800,32.18,2022-01-06,Yau Tong
