District,SA (ft2),Price(HK$),Date,Floor,Price/ft2(SA),Estate,District1
Whampoa,680,24500,2021-11-01 00:00:00,L,36.03,Whampoa Garden,KOWLOON CITY
Chi Lok,239,7500,2021-11-01 00:00:00,H,31.38,Lai Bo Building,TUEN MUN
Kowloon Tong,1496,80000,2021-11-01 00:00:00,H,53.48,The Hamptons,WAN CHAI
Hung Hom,550,21500,2021-11-01 00:00:00,L,39.09,Chatham Gate,KOWLOON CITY
To Kwa Wan,205,10500,2021-11-01 00:00:00,M,51.22,Axis,KOWLOON CITY
Ma Tau Wai,674,28000,2021-11-01 00:00:00,H,41.54,Hillville Terrace,KOWLOON CITY
So Kwun Wat,928,29000,2021-11-01 00:00:00,L,31.25,The Bloomsway,TUEN MUN
So Kwun Wat,322,9500,2021-11-01 00:00:00,M,29.5,Emerald Bay,TUEN MUN
So Kwun Wat,307,9200,2021-11-01 00:00:00,M,29.97,Emerald Bay,TUEN MUN
So Kwun Wat,238,7000,2021-11-01 00:00:00,H,29.41,Emerald Bay,TUEN MUN
Kwun Tong,592,22000,2021-11-01 00:00:00,L,37.16,Grand Central,KWUN TONG
Kwun Tong,676,22000,2021-11-01 00:00:00,L,32.54,Grand Central,KWUN TONG
Tuen Mun North,428,10500,2021-11-01 00:00:00,M,24.53,Tai Hing Gardens,TUEN MUN
Lohas Park,526,17500,2021-11-01 00:00:00,M,33.27,Lohas Park,SAI KUNG
North Point,1014,51500,2021-11-01 00:00:00,H,50.79,Fleur Pavilia,EASTERN
Tung Chung Town Centre,1475,48000,2021-11-01 00:00:00,H,32.54,Tung Chung Crescent,ISLANDS
Tung Chung Town Centre,388,13000,2021-11-01 00:00:00,M,33.51,Coastal Skyline,ISLANDS
Tiu Keng Leng,650,22000,2021-11-01 00:00:00,M,33.85,Metro Town,SAI KUNG
Tung Chung Town Centre,470,13800,2021-11-01 00:00:00,L,29.36,Caribbean Coast,ISLANDS
Diamond Hill,517,19000,2021-11-01 00:00:00,L,36.75,Galaxia,WONG TAI SIN
San Po Kong,540,18500,2021-11-01 00:00:00,L,34.26,The Latitude,WONG TAI SIN
Mid-Levels West,492,30000,2021-11-01 00:00:00,H,60.98,Soho 38,CENTRAL & WESTERN
Mei Foo,460,16500,2021-11-01 00:00:00,M,35.87,Mei Foo Sun Chuen,SHAM SHUI PO
Lai King,655,17500,2021-11-01 00:00:00,H,26.72,Highland Park,KWAI TSING
King's Park,948,39000,2021-11-01 00:00:00,H,41.14,s Park Villa,YUEN LONG
Tai Kok Tsui,417,17000,2021-11-01 00:00:00,L,40.77,Square Mile,YAU TSIM MONG
Tai Wai,677,23800,2021-11-01 00:00:00,H,35.16,Festival City,SHA TIN
Tai Wai,269,12000,2021-11-01 00:00:00,M,44.61,Acappella,SHA TIN
Lohas Park,815,21000,2021-11-01 00:00:00,L,25.77,Lohas Park,SAI KUNG
Sai Wan Ho,494,20500,2021-11-01 00:00:00,H,41.5,Grand Promenade,EASTERN
Sai Wan Ho,540,21000,2021-11-01 00:00:00,M,38.89,Lei King Wan,EASTERN
Ma On Shan,482,16500,2021-11-01 00:00:00,L,34.23,Mountain Shore,SHA TIN
Mid-Levels Central,2580,110000,2021-11-01 00:00:00,H,42.64,Garden Terrace,CENTRAL & WESTERN
North Point Mid-Levels,1467,73000,2021-11-01 00:00:00,H,49.76,Braemar Hill Mansions,EASTERN
Residence Bel-air,734,31000,2021-11-01 00:00:00,L,42.23,Air,SOUTHERN
Heng Fa Chuen,471,16000,2021-11-01 00:00:00,L,33.97,Heng Fa Chuen,EASTERN
Sai Wan Ho,710,37000,2021-11-01 00:00:00,H,52.11,Les Saisons,EASTERN
Sai Wan Ho,564,28000,2021-11-01 00:00:00,M,49.65,Les Saisons,EASTERN
Siu Sai Wan,732,65000,2021-11-01 00:00:00,H,88.8,Island Resort,EASTERN
Siu Sai Wan,566,25000,2021-11-01 00:00:00,H,44.17,Island Resort,EASTERN
Kornhill,592,21000,2021-11-01 00:00:00,H,35.47,Kornhill Garden,EASTERN
Tai Hang Mid-Levels,973,41000,2021-11-01 00:00:00,M,42.14,Marlborough House,WAN CHAI
Tai Hang Mid-Levels,567,25000,2021-11-01 00:00:00,M,44.09,Gold King Mansion,WAN CHAI
Causeway Bay,558,22000,2021-11-01 00:00:00,H,39.43,Pearl City Mansion,WAN CHAI
Causeway Bay,349,21500,2021-11-01 00:00:00,H,61.6,Yoo Residence,WAN CHAI
Nam Cheong Station,267,14000,2021-11-01 00:00:00,L,52.43,Cullinan West,SHAM SHUI PO
Olympic Station,541,24500,2021-11-01 00:00:00,H,45.29,Harbour Green,YAU TSIM MONG
Tseung Kwan O,417,15300,2021-11-01 00:00:00,H,36.69,Tseung Kwan O Plaza,SAI KUNG
To Kwa Wan,328,15000,2021-11-01 00:00:00,M,45.73,93 Pau Chung Street,KOWLOON CITY
Tiu Keng Leng,498,18500,2021-11-01 00:00:00,H,37.15,Ocean Shores,SAI KUNG
Tseung Kwan O,547,21000,2021-11-01 00:00:00,H,38.39,Park Central,SAI KUNG
Ho Man Tin,728,25000,2021-11-01 00:00:00,L,34.34,Arran Court,KOWLOON CITY
Ho Man Tin,982,41000,2021-11-01 00:00:00,M,41.75,George Apartments,KOWLOON CITY
Kwun Tong,830,29000,2021-11-01 00:00:00,M,34.94,Grand Central,KWUN TONG
Kai Tak New Area,462,15700,2021-11-01 00:00:00,Others,33.98,De Novo,CENTRAL & WESTERN
Kowloon Station,1127,42000,2021-11-01 00:00:00,M,37.27,The Waterfront,YAU TSIM MONG
Ho Man Tin,1885,81000,2021-11-01 00:00:00,H,42.97,3 Julia Avenue,KOWLOON CITY
Olympic Station,574,24000,2021-11-01 00:00:00,H,41.81,The Long Beach,YAU TSIM MONG
Lohas Park,930,28000,2021-11-01 00:00:00,H,30.11,Lohas Park,SAI KUNG
Kwun Tong,574,21000,2021-11-01 00:00:00,H,36.59,Grand Central,KWUN TONG
Lai Wan,532,16000,2021-11-01 00:00:00,H,30.08,Laichikok Bay Garden,SAI KUNG
Ho Man Tin,639,24000,2021-11-01 00:00:00,M,37.56,Balwin Court,KOWLOON CITY
Wong Tai Sin,570,20000,2021-11-01 00:00:00,M,35.09,Lions Rise,WONG TAI SIN
Tseung Kwan O,433,17100,2021-11-01 00:00:00,H,39.49,Capri,SAI KUNG
Kwun Tong,676,22500,2021-11-01 00:00:00,M,33.28,Grand Central,KWUN TONG
Kai Tak New Area,508,21000,2021-11-01 00:00:00,L,41.34,Oasis Kai Tak,KOWLOON CITY
Yau Tong,544,19000,2021-11-01 00:00:00,M,34.93,The Spectacle,KWUN TONG
Tseung Kwan O,470,17500,2021-11-01 00:00:00,L,37.23,The Grandiose,SAI KUNG
Olympic Station,759,34000,2021-11-01 00:00:00,L,44.8,The Hermitage,YAU TSIM MONG
Ha Kwai Chung,418,15500,2021-11-01 00:00:00,H,37.08,New Kwai Fong Gardens,KWAI TSING
Laguna,586,22800,2021-11-01 00:00:00,L,38.91,Laguna Verde,KOWLOON CITY
To Kwa Wan,479,17300,2021-11-01 00:00:00,M,36.12,Sky Tower,YAU TSIM MONG
Tung Chung Town Centre,1198,36000,2021-11-01 00:00:00,H,30.05,Tung Chung Crescent,ISLANDS
Tung Chung Town Centre,388,13200,2021-11-01 00:00:00,H,34.02,Coastal Skyline,ISLANDS
Shau Kei Wan,298,14500,2021-11-01 00:00:00,L,48.66,Uniq Residence,EASTERN
Tuen Mun South,304,11500,2021-11-01 00:00:00,L,37.83,Regency Bay,TUEN MUN
Belvedere,728,20500,2021-11-01 00:00:00,L,28.16,Belvedere Garden,TSUEN WAN
South Horizons,521,16000,2021-11-01 00:00:00,M,30.71,South Horizons,SOUTHERN
Luk Yeung,445,14500,2021-11-01 00:00:00,L,32.58,Luk Yeung Sun Chuen,TSUEN WAN
Mei Foo,656,22200,2021-11-01 00:00:00,H,33.84,Mei Foo Sun Chuen,SHAM SHUI PO
Tuen Mun South,372,13000,2021-11-01 00:00:00,L,34.95,Regency Bay,TUEN MUN
Tseung Kwan O,509,18500,2021-11-01 00:00:00,M,36.35,Park Central,SAI KUNG
Olympic Station,467,18500,2021-11-01 00:00:00,L,39.61,Island Harbourview,YAU TSIM MONG
Olympic Station,743,32000,2021-11-01 00:00:00,M,43.07,Park Avenue,YAU TSIM MONG
Pak Shek Kok | Tai Po Mid-levels,794,28000,2021-11-01 00:00:00,M,35.26,Mayfair By The Sea 8,TAI PO
Kowloon Station,1058,51000,2021-11-01 00:00:00,H,48.2,The Harbourside,EASTERN
Kowloon Station,1058,51000,2021-11-01 00:00:00,H,48.2,The Harbourside,EASTERN
Repulse Bay,692,35000,2021-11-01 00:00:00,Others,50.58,The Beachside,SOUTHERN
Tuen Mun San Hui,169,7750,2021-11-01 00:00:00,H,45.86,T Plus,TUEN MUN
Kennedy Town,714,37000,2021-11-01 00:00:00,H,51.82,Manhattan Heights,CENTRAL & WESTERN
Ma On Shan,580,23000,2021-11-01 00:00:00,M,39.66,Double Cove,SHA TIN
Kau To Shan,977,26000,2021-11-01 00:00:00,L,26.61,Dragons Range,SHA TIN
Fanling,513,15300,2021-11-01 00:00:00,H,29.82,Fanling Centre,NORTH
Belvedere,572,16000,2021-11-01 00:00:00,M,27.97,Belvedere Garden,TSUEN WAN
Belvedere,608,18000,2021-11-01 00:00:00,M,29.61,Serenade Cove,TSUEN WAN
Tung Chung Town Centre,548,15000,2021-11-01 00:00:00,H,27.37,Caribbean Coast,ISLANDS
Kowloon Station,900,45000,2021-11-01 00:00:00,M,50.0,The Cullinan,YAU TSIM MONG
Palm Springs | Fairview,1100,26300,2021-11-01 00:00:00,Others,23.91,Fairview Park,YUEN LONG
Yuen Long Station,461,14000,2021-11-01 00:00:00,H,30.37,Yoho Town,YUEN LONG
Tsuen Wan West,217,12600,2021-11-01 00:00:00,H,58.06,The Aurora,TSUEN WAN
Tsuen Wan West,488,19000,2021-11-01 00:00:00,M,38.93,The Pavilia Bay,TSUEN WAN
Sheung Shui,401,12000,2021-11-01 00:00:00,L,29.93,Sheungshui Town Center,NORTH
Sheung Shui,351,12000,2021-11-01 00:00:00,M,34.19,Sheung Shui Centre,NORTH
Tuen Mun Town Centre,469,10000,2021-11-01 00:00:00,H,21.32,Top Court,TUEN MUN
Fanling,384,13500,2021-11-01 00:00:00,H,35.16,Dawning Views,NORTH
Shap Pat Heung,307,9300,2021-11-01 00:00:00,L,30.29,Park Signature,YUEN LONG
Ma On Shan,1594,41500,2021-11-01 00:00:00,M,26.04,Lake Silver,SHA TIN
Ma On Shan,496,17000,2021-11-01 00:00:00,L,34.27,Double Cove,SHA TIN
Tsuen Wan West,532,20000,2021-11-01 00:00:00,M,37.59,Parc City,TSUEN WAN
Four Little Dragons,491,20000,2021-11-01 00:00:00,H,40.73,Liberte,SHAM SHUI PO
North Point,829,38500,2021-11-01 00:00:00,L,46.44,Fleur Pavilia,EASTERN
North Point Mid-Levels,845,35000,2021-11-01 00:00:00,M,41.42,Pacific Palisades,EASTERN
City One Shatin,304,13000,2021-11-01 00:00:00,M,42.76,City One Shatin,SHA TIN
Discovery Park,653,20200,2021-11-01 00:00:00,M,30.93,Discovery Park,TSUEN WAN
Pak Shek Kok | Tai Po Mid-levels,989,27000,2021-11-01 00:00:00,Others,27.3,The Paramount,TAI PO
Tai Po Town Centre,751,18500,2021-11-01 00:00:00,H,24.63,Mont Vert,TAI PO
Tsing Yi,401,13500,2021-11-01 00:00:00,H,33.67,Ching Tai Court,KWAI TSING
Tung Chung Town Centre,484,13000,2021-11-01 00:00:00,L,26.86,The Visionary,ISLANDS
Kam Tin,997,31000,2021-11-01 00:00:00,H,31.09,Crescent Green,YUEN LONG
Yuen Long Station,1047,30000,2021-11-01 00:00:00,H,28.65,Yoho Town,YUEN LONG
Quarry Bay,379,17500,2021-11-01 00:00:00,H,46.17,Westlands Court,EASTERN
South Horizons,686,23800,2021-11-01 00:00:00,H,34.69,South Horizons,SOUTHERN
Po Lam,470,16300,2021-11-01 00:00:00,L,34.68,The Metro City,SAI KUNG
Hang Hau,377,16000,2021-11-01 00:00:00,M,42.44,La Cite Noble,SAI KUNG
Yuen Long Town Centre,479,11000,2021-11-01 00:00:00,H,22.96,Crystal Park,YUEN LONG
Shap Pat Heung,468,12000,2021-11-01 00:00:00,M,25.64,Park Signature,YUEN LONG
Tung Chung Town Centre,1033,29000,2021-11-01 00:00:00,M,28.07,The Visionary,ISLANDS
Tung Chung Town Centre,565,14800,2021-11-01 00:00:00,H,26.19,Caribbean Coast,ISLANDS
Tung Chung Town Centre,453,14000,2021-11-01 00:00:00,L,30.91,Century Link,ISLANDS
Quarry Bay,391,16000,2021-11-01 00:00:00,M,40.92,Nan Fung Sun Chuen,EASTERN
Sai Wan Ho,543,23200,2021-11-01 00:00:00,L,42.73,Island Residence,EASTERN
Wong Tai Sin,856,27800,2021-11-01 00:00:00,L,32.48,Billionnaire Royale,WONG TAI SIN
Mid-Levels Central,2278,108000,2021-11-01 00:00:00,H,47.41,May Tower,CENTRAL & WESTERN
Tseung Kwan O,577,23800,2021-11-01 00:00:00,L,41.25,Monterey,SAI KUNG
Mid-Levels West,2123,120000,2021-11-01 00:00:00,M,56.52,Argenta,CENTRAL & WESTERN
Central,407,26000,2021-11-01 00:00:00,L,63.88,Lower Floor,CENTRAL & WESTERN
Repulse Bay,4853,300000,2021-11-01 00:00:00,Others,61.82,Repulse Bay Mansions,SOUTHERN
Repulse Bay,2069,95000,2021-11-01 00:00:00,L,45.92,Hong Kong Parkview,SOUTHERN
Stanley,3379,140000,2021-11-01 00:00:00,Others,41.43,Regalia Bay,SOUTHERN
Stanley,3379,140000,2021-11-01 00:00:00,Others,41.43,Regalia Bay,SOUTHERN
Tseung Kwan O,523,18000,2021-11-01 00:00:00,L,34.42,Tseung Kwan O Plaza,SAI KUNG
So Kwun Wat,471,12000,2021-11-01 00:00:00,L,25.48,Le Pont,TUEN MUN
Stanley,1353,45000,2021-11-01 00:00:00,Others,33.26,Parisian,SOUTHERN
Lohas Park,499,16000,2021-11-01 00:00:00,L,32.06,The Beaumount,SAI KUNG
Kennedy Town,1059,48000,2021-11-01 00:00:00,M,45.33,The Sail At Victoria,CENTRAL & WESTERN
Shek Tong Tsui,320,18000,2021-11-01 00:00:00,L,56.25,High West,CENTRAL & WESTERN
Tin Hau,330,12500,2021-11-01 00:00:00,L,37.88,Cheong Shing Mansion,WAN CHAI
Mid-Levels West,322,18000,2021-11-01 00:00:00,M,55.9,Parksdale,CENTRAL & WESTERN
Deep Bay,1368,71000,2021-11-01 00:00:00,H,51.9,Marinella,SOUTHERN
Wan Chai,772,41000,2021-11-01 00:00:00,L,53.11,Star Crest,WAN CHAI
Yuk Kwai Shan Wan Poon,511,18500,2021-11-01 00:00:00,H,36.2,Sham Wan Towers,SOUTHERN
South Horizons,581,20000,2021-11-01 00:00:00,M,34.42,South Horizons,SOUTHERN
South Horizons,581,21000,2021-11-01 00:00:00,M,36.14,South Horizons,SOUTHERN
South Horizons,516,17500,2021-11-01 00:00:00,L,33.91,South Horizons,SOUTHERN
South Horizons,656,24000,2021-11-01 00:00:00,H,36.59,South Horizons,SOUTHERN
Yuk Kwai Shan Wan Poon,1056,46000,2021-11-01 00:00:00,M,43.56,Larvotto,SOUTHERN
Kennedy Town,818,40000,2021-11-01 00:00:00,L,48.9,Mount Davis,CENTRAL & WESTERN
Tai Hang Mid-Levels,1385,75000,2021-11-01 00:00:00,M,54.15,The Legend,WAN CHAI
Happy Valley,1048,50000,2021-11-01 00:00:00,L,47.71,Green Valley Mansion,WAN CHAI
Mid-Levels West,672,32000,2021-11-01 00:00:00,H,47.62,The Belchers,CENTRAL & WESTERN
Tai Hang Mid-Levels,2465,123000,2021-11-01 00:00:00,H,49.9,Trafalgar Court,WAN CHAI
Tung Chung Town Centre,550,17000,2021-11-01 00:00:00,H,30.91,Caribbean Coast,ISLANDS
Tung Chung Town Centre,638,17000,2021-11-01 00:00:00,L,26.65,Coastal Skyline,ISLANDS
Tin Shui Wai,521,15500,2021-11-01 00:00:00,L,29.75,Wetland Seasons Park,YUEN LONG
Ma Wan,575,15500,2021-11-01 00:00:00,L,26.96,Park Island,TSUEN WAN
Po Lam,502,14500,2021-11-01 00:00:00,M,28.88,Well On Garden,SAI KUNG
Pak Shek Kok | Tai Po Mid-levels,731,28000,2021-11-01 00:00:00,L,38.3,Providence Bay,TAI PO
Ma On Shan,511,17500,2021-11-01 00:00:00,L,34.25,Double Cove,SHA TIN
Belvedere,445,15000,2021-11-01 00:00:00,H,33.71,Serenade Cove,TSUEN WAN
Tsuen Wan West,391,18400,2021-11-01 00:00:00,L,47.06,Ocean Pride,TSUEN WAN
To Kwa Wan,319,9500,2021-11-01 00:00:00,H,29.78,Kam Tong Building,YUEN LONG
Tung Chung Town Centre,645,26000,2021-11-01 00:00:00,Others,40.31,Century Link,ISLANDS
Ma On Shan,293,13000,2021-11-01 00:00:00,M,44.37,Bliss,SHA TIN
Tuen Mun North,394,10500,2021-11-01 00:00:00,M,26.65,Tai Hing Gardens,TUEN MUN
Discovery Park,645,17600,2021-11-01 00:00:00,L,27.29,Discovery Park,TSUEN WAN
Tung Chung Town Centre,573,15500,2021-11-01 00:00:00,M,27.05,Seaview Crescent,ISLANDS
Tung Chung Town Centre,565,15000,2021-11-01 00:00:00,H,26.55,Caribbean Coast,ISLANDS
Tai Po Market,376,12800,2021-11-01 00:00:00,H,34.04,Yat Nga Court,TAI PO
Tai Po Market,620,20000,2021-11-01 00:00:00,L,32.26,Uptown Plaza,TAI PO
Tuen Mun Town Centre,320,12500,2021-11-01 00:00:00,L,39.06,Coo Residence,TUEN MUN
So Kwun Wat,541,13500,2021-11-01 00:00:00,M,24.95,Napa,TUEN MUN
Tuen Mun North,477,9500,2021-11-01 00:00:00,L,19.92,Hong Tak Gardens,TUEN MUN
Tuen Mun Town Centre,408,12500,2021-11-01 00:00:00,M,30.64,The Trend Plaza,TUEN MUN
Ping Shan,805,18000,2021-11-01 00:00:00,Others,22.36,Jasper Court,YUEN LONG
Tuen Mun San Hui,164,8000,2021-11-01 00:00:00,H,48.78,T Plus,TUEN MUN
Tuen Mun Town Centre,272,9800,2021-11-01 00:00:00,H,36.03,The Trend Plaza,TUEN MUN
Tai Hang Mid-Levels,511,20000,2021-11-01 00:00:00,L,39.14,Tai Hang Terrace,WAN CHAI
Tsing Yi,778,25000,2021-11-01 00:00:00,H,32.13,Villa Esplanada,KWAI TSING
Tung Chung Town Centre,543,15500,2021-11-01 00:00:00,H,28.55,Caribbean Coast,ISLANDS
Tsuen Wan West,759,25000,2021-11-01 00:00:00,L,32.94,City Point,TSUEN WAN
Ma On Shan,510,16500,2021-11-01 00:00:00,H,32.35,Mountain Shore,SHA TIN
Tsing Yi,676,23000,2021-11-01 00:00:00,H,34.02,Tierra Verde,KWAI TSING
Tsuen Wan West,829,25000,2021-11-01 00:00:00,L,30.16,Vision City,TSUEN WAN
Tsuen Wan West,462,16500,2021-11-01 00:00:00,H,35.71,Chelsea Court,CENTRAL & WESTERN
Wan Chai,408,20000,2021-11-01 00:00:00,M,49.02,York Place,WAN CHAI
Wan Chai,659,34500,2021-11-01 00:00:00,H,52.35,The Zenith,WAN CHAI
Wan Chai,342,20000,2021-11-01 00:00:00,L,58.48,The Gloucester,WAN CHAI
Tsing Yi,756,28000,2021-11-01 00:00:00,M,37.04,Tierra Verde,KWAI TSING
Happy Valley,1103,40000,2021-11-01 00:00:00,M,36.26,33 Village Terrace,WAN CHAI
Happy Valley,750,30000,2021-11-01 00:00:00,H,40.0,Caroline Height,WAN CHAI
Tung Chung Town Centre,1442,45000,2021-11-01 00:00:00,H,31.21,The Visionary,ISLANDS
Yuen Long Station,898,25500,2021-11-01 00:00:00,H,28.4,Yoho Town,YUEN LONG
Kam Tin,868,23000,2021-11-01 00:00:00,H,26.5,Riva,YUEN LONG
Lam Tin,517,17000,2021-11-01 00:00:00,H,32.88,Laguna City,KWUN TONG
Yuen Long Town Centre,428,12000,2021-11-01 00:00:00,H,28.04,Orion Court,KOWLOON CITY
Yuen Long Town Centre,380,9500,2021-11-01 00:00:00,H,25.0,Tai Hang Building,YUEN LONG
Tai Po Hoi Bun,1109,30000,2021-11-01 00:00:00,Others,27.05,Richwood Park,TAI PO
Tsuen Wan West,807,33000,2021-11-01 00:00:00,H,40.89,Ocean Pride,TSUEN WAN
Tai Hang Mid-Levels,825,39000,2021-11-01 00:00:00,L,47.27,I,SHAM SHUI PO
Yuen Long Station,485,14300,2021-11-01 00:00:00,M,29.48,Sun Yuen Long Centre,YUEN LONG
Yuen Long Southeast,509,12800,2021-11-01 00:00:00,M,25.15,Sereno Verde,YUEN LONG
Sai Ying Pun,864,48000,2021-11-01 00:00:00,H,55.56,Kensington Hill,CENTRAL & WESTERN
Olympic Station,478,19000,2021-11-01 00:00:00,L,39.75,Harbour Green,YAU TSIM MONG
Lohas Park,379,15300,2021-11-01 00:00:00,H,40.37,Lohas Park,SAI KUNG
Tseung Kwan O,436,15800,2021-11-01 00:00:00,H,36.24,Park Central,SAI KUNG
Tung Chung Town Centre,544,14000,2021-11-01 00:00:00,L,25.74,Caribbean Coast,ISLANDS
Tung Chung Town Centre,868,22000,2021-11-01 00:00:00,H,25.35,Tung Chung Crescent,ISLANDS
Kowloon City,316,14800,2021-11-01 00:00:00,H,46.84,Genius Court,KOWLOON CITY
Kowloon Tong,440,18000,2021-11-01 00:00:00,M,40.91,Boland Court,EASTERN
Kwun Tong,594,20000,2021-10-31 00:00:00,H,33.67,Grand Central,KWUN TONG
Tsing Yi,463,12500,2021-10-31 00:00:00,H,27.0,Grand Horizon,KWAI TSING
Long Ping,322,14000,2021-10-31 00:00:00,H,43.48,Sol City,YUEN LONG
Tsing Yi,767,28000,2021-10-31 00:00:00,L,36.51,Tierra Verde,KWAI TSING
Mid-Levels West,196,13000,2021-10-30 00:00:00,L,66.33,Upper Central,CENTRAL & WESTERN
Residence Bel-air,1439,70000,2021-10-30 00:00:00,M,48.64,Air,SOUTHERN
Mei Foo,485,17000,2021-10-30 00:00:00,L,35.05,Mei Foo Sun Chuen,SHAM SHUI PO
Tai Hang Mid-Levels,1001,42000,2021-10-30 00:00:00,L,41.96,Yukon Heights,WAN CHAI
Tai Wai,260,10500,2021-10-30 00:00:00,H,40.38,Golden Lion Garden,SHA TIN
Ma Wan,774,21300,2021-10-30 00:00:00,L,27.52,Park Island,TSUEN WAN
Yuen Long Station,538,18500,2021-10-30 00:00:00,M,34.39,Grand Yoho,YUEN LONG
Hung Hom,343,14800,2021-10-30 00:00:00,L,43.15,Alpine 18,KOWLOON CITY
Wan Chai,395,20000,2021-10-30 00:00:00,H,50.63,Starlight Garden,WAN CHAI
Tai Hang Mid-Levels,496,23500,2021-10-29 00:00:00,L,47.38,I,SHAM SHUI PO
Kowloon City,230,11800,2021-10-29 00:00:00,H,51.3,Ava 55,KOWLOON CITY
Lohas Park,377,15300,2021-10-29 00:00:00,M,40.58,Lohas Park,SAI KUNG
Happy Valley,699,41000,2021-10-29 00:00:00,M,58.66,Resiglow Happy Valley,WAN CHAI
Sha Tin,269,11000,2021-10-28 00:00:00,M,40.89,Garden Rivera,SHA TIN
Mei Foo,507,16000,2021-10-28 00:00:00,L,31.56,Mei Foo Sun Chuen,SHAM SHUI PO
Yau Kom Tau | Ting Kau,2561,77000,2021-10-28 00:00:00,L,30.07,The Westminster Terrace,TSUEN WAN
Olympic Station,608,24000,2021-10-28 00:00:00,L,39.47,Island Harbourview,YAU TSIM MONG
Tuen Mun San Hui,312,11000,2021-10-28 00:00:00,H,35.26,Mount Regency,TUEN MUN
Tin Shui Wai,551,12500,2021-10-28 00:00:00,L,22.69,Kingswood Villas,YUEN LONG
Mid-Levels East,1025,37000,2021-10-28 00:00:00,Others,36.1,Gallant Place,WAN CHAI
Tai Wai,266,9500,2021-10-28 00:00:00,L,35.71,Golden Lion Garden,SHA TIN
Siu Lam,1326,37000,2021-10-28 00:00:00,Others,27.9,The Castle Bay,TUEN MUN
Kai Tak New Area,366,16000,2021-10-28 00:00:00,M,43.72,Oasis Kai Tak,KOWLOON CITY
Aberdeen,274,12500,2021-10-27 00:00:00,H,45.62,Kin Fai Building,SOUTHERN
Fo Tan,1039,28500,2021-10-27 00:00:00,L,27.43,Royal Ascot,SHA TIN
Tai Wai,785,24300,2021-10-27 00:00:00,L,30.96,Festival City,SHA TIN
Residence Bel-air,649,23000,2021-10-27 00:00:00,M,35.44,Air,SOUTHERN
Discovery Bay,769,24500,2021-10-27 00:00:00,H,31.86,Discovery Bay,ISLANDS
Kowloon Bay,538,16800,2021-10-27 00:00:00,L,31.23,Telford Gardens,KWUN TONG
Tung Chung Town Centre,927,25000,2021-10-27 00:00:00,L,26.97,Caribbean Coast,ISLANDS
Nam Cheong Station,366,20000,2021-10-27 00:00:00,H,54.64,Cullinan West,SHAM SHUI PO
Ho Man Tin,1311,57500,2021-10-27 00:00:00,M,43.86,Kadooria,KOWLOON CITY
Olympic Station,447,21000,2021-10-27 00:00:00,H,46.98,Florient Rise,YAU TSIM MONG
Chi Lok,234,9000,2021-10-27 00:00:00,H,38.46,Lee Bo Building,TUEN MUN
South Horizons,590,22000,2021-10-27 00:00:00,H,37.29,South Horizons,SOUTHERN
Mid-Levels West,1398,65000,2021-10-27 00:00:00,H,46.49,Yukon Court,CENTRAL & WESTERN
Tuen Mun South,340,10800,2021-10-26 00:00:00,M,31.76,Goodview Garden,WAN CHAI
Tsuen Wan West,524,22500,2021-10-26 00:00:00,M,42.94,Ocean Pride,TSUEN WAN
Nob Hill,426,13000,2021-10-26 00:00:00,L,30.52,Ching Lai Court,SHAM SHUI PO
Kai Tak New Area,343,15000,2021-10-26 00:00:00,M,43.73,Victoria Skye,KOWLOON CITY
Po Lam,441,16500,2021-10-26 00:00:00,H,37.41,The Metro City,SAI KUNG
Tseung Kwan O,501,18800,2021-10-26 00:00:00,H,37.52,Tseung Kwan O Plaza,SAI KUNG
Sai Wan Ho,498,21000,2021-10-26 00:00:00,M,42.17,Grand Promenade,EASTERN
Tuen Mun Town Centre,294,9000,2021-10-26 00:00:00,M,30.61,Court,EASTERN
Happy Valley,849,37000,2021-10-26 00:00:00,Others,43.58,Broom Garden,WAN CHAI
Wan Chai,488,24000,2021-10-26 00:00:00,H,49.18,The Zenith,WAN CHAI
Tai Wai,787,26000,2021-10-26 00:00:00,H,33.04,Festival City,SHA TIN
Shap Pat Heung,301,9500,2021-10-25 00:00:00,M,31.56,Park Signature,YUEN LONG
Lohas Park,1086,35000,2021-10-25 00:00:00,H,32.23,Lohas Park,SAI KUNG
Tin Hau,485,26000,2021-10-25 00:00:00,H,53.61,The Hemispheres,WAN CHAI
Kowloon Bay,551,15000,2021-10-25 00:00:00,M,27.22,Telford Gardens,KWUN TONG
Yuen Long Southeast,440,13500,2021-10-25 00:00:00,H,30.68,The Reach,YUEN LONG
Tung Chung Town Centre,927,19500,2021-10-25 00:00:00,L,21.04,Caribbean Coast,ISLANDS
Tung Chung Town Centre,591,16500,2021-10-25 00:00:00,M,27.92,The Visionary,ISLANDS
Mei Foo,657,22600,2021-10-25 00:00:00,L,34.4,Mei Foo Sun Chuen,SHAM SHUI PO
Tuen Mun South,401,10000,2021-10-25 00:00:00,M,24.94,Siu Lun Court,TUEN MUN
Heng Fa Chuen,453,16500,2021-10-25 00:00:00,H,36.42,Heng Fa Chuen,EASTERN
Taikoo Shing,488,19000,2021-10-25 00:00:00,L,38.93,Taikoo Shing,EASTERN
Four Little Dragons,517,19000,2021-10-25 00:00:00,H,36.75,Banyan Garden,SHAM SHUI PO
Mid-Levels Central,1347,57000,2021-10-25 00:00:00,H,42.32,Grosvenor House,CENTRAL & WESTERN
