District,SA (ft2),Price(HK$),Date,Floor,Price/ft2(SA),Estate,District1
Taikoo Shing,518,18000,2022-04-25 00:00:00,L,34.75,Taikoo Shing,EASTERN
Lohas Park,499,13800,2022-04-25 00:00:00,H,27.66,The Beaumount,SAI KUNG
Lohas Park,530,13500,2022-04-25 00:00:00,H,25.47,The Beaumount,SAI KUNG
Happy Valley,534,25000,2022-04-25 00:00:00,L,46.82,Regent Hill,WAN CHAI
Olympic Station,516,19000,2022-04-25 00:00:00,M,36.82,Harbour Green,YAU TSIM MONG
Pak Shek Kok | Tai Po Mid-levels,595,19000,2022-04-25 00:00:00,H,31.93,Solaria,TAI PO
Kennedy Town,466,21200,2022-04-25 00:00:00,H,45.49,60 Victoria Road,CENTRAL & WESTERN
Ping Shan,367,9800,2022-04-25 00:00:00,Others,26.7,Imperial Villas,YUEN LONG
Taikoo Shing,567,23000,2022-04-25 00:00:00,M,40.56,Taikoo Shing,EASTERN
Kai Tak New Area,293,13800,2022-04-25 00:00:00,L,47.1,Summit,YAU TSIM MONG
Tai Wai,420,14500,2022-04-25 00:00:00,L,34.52,Park View Garden,SHA TIN
Tsuen Wan Town Centre,431,14000,2022-04-25 00:00:00,H,32.48,Wealthy Garden,TSUEN WAN
Tsuen Wan Town Centre,433,15000,2022-04-25 00:00:00,L,34.64,Tsuen Wan Plaza,TSUEN WAN
Tsuen King Circuit,287,10700,2022-04-25 00:00:00,M,37.28,Tsuen Tak Gardens,TSUEN WAN
City One Shatin,327,12100,2022-04-25 00:00:00,L,37.0,City One Shatin,SHA TIN
Tai Po Market,513,14500,2022-04-25 00:00:00,L,28.27,Classical Gardens,TAI PO
Tsuen King Circuit,481,16100,2022-04-25 00:00:00,H,33.47,Summit Terrace,TSUEN WAN
Kai Tak New Area,585,21000,2022-04-25 00:00:00,M,35.9,Upper Riverbank,CENTRAL & WESTERN
Kai Tak New Area,476,14500,2022-04-25 00:00:00,L,30.46,De Novo,CENTRAL & WESTERN
Wan Chai,438,22000,2022-04-25 00:00:00,M,50.23,The Avenue,WAN CHAI
Four Little Dragons,445,17000,2022-04-25 00:00:00,L,38.2,The Pacifica,SHAM SHUI PO
Kwun Tong,861,29000,2022-04-25 00:00:00,M,33.68,Grand Central,KWUN TONG
Lam Tin,687,20000,2022-04-25 00:00:00,H,29.11,Laguna City,KWUN TONG
Long Ping,374,12200,2022-04-25 00:00:00,M,32.62,Twin Regency,YUEN LONG
Tsing Yi,478,12500,2022-04-25 00:00:00,H,26.15,Mayfair Gardens,KOWLOON CITY
Shap Pat Heung,313,10000,2022-04-25 00:00:00,H,31.95,Park Signature,YUEN LONG
Mong Kok,688,26000,2022-04-25 00:00:00,M,37.79,Macpherson Place,YAU TSIM MONG
Kowloon Tong,403,18000,2022-04-24 00:00:00,M,44.67,La Salle Residence,KOWLOON CITY
North Point,823,38000,2022-04-24 00:00:00,L,46.17,Fleur Pavilia,EASTERN
Tuen Mun Ferry Pier,643,14800,2022-04-24 00:00:00,H,23.02,Miami Beach Towers,TUEN MUN
Mid-Levels West,504,24500,2022-04-24 00:00:00,H,48.61,Primrose Court,CENTRAL & WESTERN
City One Shatin,707,19000,2022-04-24 00:00:00,L,26.87,City One Shatin,SHA TIN
To Kwa Wan,258,13000,2022-04-24 00:00:00,L,50.39,The Zutten,KOWLOON CITY
Sheung Shui,512,12500,2022-04-24 00:00:00,M,24.41,Noble Hill,NORTH
Tuen Mun San Hui,297,8500,2022-04-24 00:00:00,L,28.62,Rich Building,WAN CHAI
Kai Tak New Area,459,17200,2022-04-24 00:00:00,H,37.47,Summit,YAU TSIM MONG
So Kwun Wat,1072,30000,2022-04-24 00:00:00,H,27.99,Hong Kong Gold Coast,TUEN MUN
Siu Hong,376,11500,2022-04-24 00:00:00,L,30.59,Parkland Villas,TUEN MUN
Heng Fa Chuen,826,26600,2022-04-24 00:00:00,M,32.2,Heng Fa Chuen,EASTERN
Lohas Park,541,18000,2022-04-24 00:00:00,H,33.27,Lohas Park,SAI KUNG
Nam Cheong Station,273,14500,2022-04-24 00:00:00,H,53.11,Cullinan West,SHAM SHUI PO
Tseung Kwan O,700,24500,2022-04-24 00:00:00,H,35.0,The Wings,SAI KUNG
Lohas Park,761,19500,2022-04-24 00:00:00,M,25.62,Lohas Park,SAI KUNG
Kai Tak New Area,459,16800,2022-04-24 00:00:00,L,36.6,Summit,YAU TSIM MONG
Lam Tin,720,23800,2022-04-24 00:00:00,H,33.06,Sceneway Garden,KWUN TONG
Ma Wan,507,13600,2022-04-24 00:00:00,M,26.82,Park Island,TSUEN WAN
Kennedy Town,482,21000,2022-04-24 00:00:00,H,43.57,The Merton,CENTRAL & WESTERN
Tuen Mun North,512,14300,2022-04-24 00:00:00,M,27.93,Chelsea Heights,TUEN MUN
Lohas Park,735,23000,2022-04-24 00:00:00,H,31.29,Lohas Park,SAI KUNG
North Point Mid-Levels,847,35000,2022-04-24 00:00:00,L,41.32,Pacific Palisades,EASTERN
City One Shatin,304,12000,2022-04-24 00:00:00,L,39.47,City One Shatin,SHA TIN
Tung Chung Town Centre,548,13800,2022-04-24 00:00:00,H,25.18,Caribbean Coast,ISLANDS
Siu Hong,383,11500,2022-04-24 00:00:00,M,30.03,Parkland Villas,TUEN MUN
Po Lam,485,14200,2022-04-24 00:00:00,M,29.28,Verbena Heights,SAI KUNG
Tin Shui Wai,549,10800,2022-04-24 00:00:00,M,19.67,Kingswood Villas,YUEN LONG
Kai Tak New Area,293,13700,2022-04-24 00:00:00,M,46.76,Summit,YAU TSIM MONG
Kai Tak New Area,371,15000,2022-04-24 00:00:00,M,40.43,City,EASTERN
Tsing Yi,488,15000,2022-04-24 00:00:00,H,30.74,Grand Horizon,KWAI TSING
Tsing Yi,501,16300,2022-04-24 00:00:00,H,32.53,Greenfield Garden,KWAI TSING
Wan Chai,357,14000,2022-04-23 00:00:00,M,39.22,Causeway Centre,WAN CHAI
Fanling,562,13500,2022-04-23 00:00:00,M,24.02,Glorious Peak,NORTH
Tai Wai,680,21800,2022-04-23 00:00:00,L,32.06,Festival City,SHA TIN
Tuen Mun North,302,10500,2022-04-23 00:00:00,L,34.77,Ori,TUEN MUN
Tung Chung Town Centre,448,13500,2022-04-23 00:00:00,H,30.13,The Visionary,ISLANDS
Tiu Keng Leng,731,23000,2022-04-23 00:00:00,M,31.46,Metro Town,SAI KUNG
Sai Wan Ho,499,21000,2022-04-23 00:00:00,M,42.08,Grand Promenade,EASTERN
Sai Wan Ho,561,25000,2022-04-23 00:00:00,L,44.56,Les Saisons,EASTERN
North Point Mid-Levels,1502,68000,2022-04-23 00:00:00,H,45.27,Pacific Palisades,EASTERN
Olympic Station,464,19000,2022-04-23 00:00:00,H,40.95,Island Harbourview,YAU TSIM MONG
Siu Sai Wan,457,17500,2022-04-23 00:00:00,L,38.29,Island Resort,EASTERN
Kowloon Bay,378,14000,2022-04-23 00:00:00,M,37.04,Amoy Gardens,KWUN TONG
Kowloon Bay,375,14000,2022-04-23 00:00:00,M,37.33,Amoy Gardens,KWUN TONG
Four Little Dragons,512,18000,2022-04-23 00:00:00,M,35.16,Banyan Garden,SHAM SHUI PO
Mei Foo,509,16500,2022-04-23 00:00:00,H,32.42,Mei Foo Sun Chuen,SHAM SHUI PO
Hang Hau,490,15000,2022-04-23 00:00:00,M,30.61,Residence Oasis,SAI KUNG
Tiu Keng Leng,505,14800,2022-04-23 00:00:00,L,29.31,Ocean Shores,SAI KUNG
Ha Kwai Chung,418,13200,2022-04-23 00:00:00,L,31.58,New Kwai Fong Gardens,KWAI TSING
Tung Chung Town Centre,516,14800,2022-04-23 00:00:00,H,28.68,Seaview Crescent,ISLANDS
Belvedere,742,23500,2022-04-23 00:00:00,M,31.67,Belvedere Garden,TSUEN WAN
